PoliceReport,dos,high,603.6426677028571,ReExecute,0.8,0.9,0.7,-0.6073859624532462,39.0,10.0,1.4032,355.0,49.71267867306046,160.0,1.4032
PoliceReport,probe,high,145.02230914285713,ReConfiguration,0.6,0.7,0.5,-0.6,38.0,15.0,1.5602,301.0,48.2193464066034,150.0,3.2592
SelectBestExpert,u2r,low,2.1531112,ReExecute,0.8,0.9,0.7,-0.7,31.0,30.0,1.6989999999999998,301.0,48.2193464066034,150.0,3.2592
PoliceReport,dos,high,448.17974655999996,ReExecute,0.8,0.9,0.7,-0.7,39.0,10.0,1.4032,220.0,29.337972895368726,100.0,2.9492
SelectBestExpert,r2l,low,2.9748455756019263,ReExecute,0.8,0.9,0.7,-0.44756119554592066,31.0,30.0,1.5459999999999998,220.0,29.337972895368726,100.0,2.9492
HospitalReport,r2l,low,2.2833706510920644,ReExecute,0.8,0.9,0.7,0.3506573612998731,24.0,15.0,1.5222,306.0,55.40053918635694,115.0,3.7523999999999997
SelectBestExpert,dos,high,184.50247521797752,Insert,0.2,0.2,0.2,0.1,19.5,15.0,0.31999999999999995,306.0,55.40053918635694,115.0,3.7523999999999997
HospitalReport,r2l,low,5.574378134218694,ReExecute,0.8,0.9,0.7,1.5360046747551892,36.0,15.0,1.5222,306.0,55.40053918635694,115.0,3.7523999999999997
SelectBestExpert,r2l,high,590.7063511578947,Insert,0.2,0.2,0.2,0.1,14.5,15.0,0.388,306.0,55.40053918635694,115.0,3.7523999999999997
SelectBestExpert,dos,low,4.986553384269663,ReExecute,0.8,0.9,0.7,0.38124002362266884,37.0,30.0,1.3079999999999998,286.0,37.05662489261377,110.0,1.3079999999999998
PoliceReport,dos,high,603.6426677028571,Insert,0.2,0.2,0.2,0.2,56.0,10.0,0.3536,267.0,40.54915796746599,80.0,0.3536
PoliceReport,r2l,medium,11.50479872,Insert,0.2,0.2,0.2,0.2,78.0,10.0,0.38760000000000006,333.0,57.62906295453538,115.0,0.38760000000000006
ObtainClaimService,dos,low,2.715219021092757,Late,0.7,0.6,0.8,0.1,12.5,5.0,1.1479999999999997,271.5,42.607653306346634,150.0,2.6701999999999995
HospitalReport,r2l,low,6.860399420681289,ReExecute,0.8,0.9,0.7,0.8070888820855049,29.0,15.0,1.5222,271.5,42.607653306346634,150.0,2.6701999999999995
PoliceReport,dos,high,448.17974655999996,ReConfiguration,0.6,0.7,0.5,-0.5385358036272669,49.0,15.0,1.0495999999999999,304.0,59.825835880777944,95.0,1.6159999999999999
CustomerFeedbackCollection,dos,medium,13.553235250892687,Insert,0.2,0.2,0.2,0.2,92.0,5.0,0.5664,304.0,59.825835880777944,95.0,1.6159999999999999
ObtainClaimService,r2l,low,3.1631226122990954,ReExecute,0.8,0.9,0.7,0.5640581314984229,21.0,10.0,1.371,258.0,42.09980239814714,120.0,1.371
SelectBestExpert,dos,medium,16.75484002632281,Insert,0.2,0.2,0.2,0.1,10.0,15.0,0.31999999999999995,229.0,58.39472672763865,90.0,0.584
BankReimbursment,dos,medium,76.75766038039315,Insert,0.2,0.2,0.2,0.1,18.0,5.0,0.264,229.0,58.39472672763865,90.0,0.584
SelectBestExpert,u2r,low,5.649022933333335,ReExecute,0.8,0.9,0.7,-0.7,20.0,30.0,1.6989999999999998,164.0,27.871070149091132,75.0,1.6989999999999998
