4,CustomerFeedbackCollection,3
0,"udp","domain_u","SF",34,34,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",3,7,0,0,0,0,1,0,0.29,255,237,0.93,0.01,0,0,0,0,0,0,"normal"
0,"tcp","private","REJ",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",251,1,0,0,1,1,0,0.07,0,255,1,0,0.07,0,0,0,0,1,1,"dos"
0,"tcp","netbios_dgm","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",244,18,1,1,0,0,0.07,0.06,0,255,19,0.07,0.07,0,0,1,1,0,0,"dos"
0,"udp","domain_u","SF",38,54,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",8,23,0,0,0,0,1,0,0.13,255,252,0.99,0.01,0.02,0,0,0,0,0,"normal"
0,"tcp","private","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",217,13,1,1,0,0,0.06,0.07,0,255,5,0.02,0.08,0,0,1,1,0,0,"dos"
0,"tcp","private","REJ",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",233,3,0,0,1,1,0.01,0.07,0,255,3,0.01,0.08,0,0,0,0,1,1,"dos"
0,"tcp","http","SF",233,1679,"0",0,0,0,0,"1",0,"0","0",0,0,0,0,0,0,"0",1,1,0,0,0,0,1,0,0,44,255,1,0,0.02,0.05,0,0,0,0.05,"normal"
1,"tcp","smtp","SF",1946,366,"0",0,0,0,0,"1",0,"0","0",0,0,0,0,0,0,"0",1,5,0,0,0,0,1,0,1,114,183,0.78,0.03,0.01,0.01,0,0.03,0,0.01,"normal"
0,"tcp","private","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",226,23,1,1,0,0,0.1,0.05,0,255,23,0.09,0.06,0,0,1,1,0,0,"dos"
0,"tcp","private","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",121,1,1,1,0,0,0.01,0.06,0,255,2,0.01,0.08,0,0,1,1,0,0,"dos"
0,"tcp","http","SF",346,2627,"0",0,0,0,0,"1",0,"0","0",0,0,0,0,0,0,"0",4,5,0,0,0,0,1,0,0.4,134,255,1,0,0.01,0.01,0,0,0,0,"normal"
0,"tcp","private","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",213,4,1,1,0,0,0.02,0.08,0,255,5,0.02,0.08,0,0,1,1,0,0,"dos"
0,"tcp","http","SF",232,2153,"0",0,0,0,0,"1",0,"0","0",0,0,0,0,0,0,"0",3,4,0,0,0,0,1,0,0.5,255,255,1,0,0,0,0,0,0,0,"normal"
0,"tcp","ftp_data","SF",15722,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",7,7,0,0,0,0,1,0,0,53,113,0.74,0.08,0.74,0.02,0,0,0,0,"normal"
0,"tcp","private","REJ",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",112,4,0,0,1,1,0.04,0.08,0,255,4,0.02,0.06,0,0,0,0,1,1,"dos"
0,"tcp","private","REJ",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",219,9,0,0,1,1,0.04,0.06,0,255,9,0.04,0.08,0,0,0,0,1,1,"dos"
0,"tcp","private","S0",0,0,"0",0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,"0",79,1,1,1,0,0,0.01,0.06,0,255,1,0,0.06,0,0,1,1,0,0,"dos"
